company;name;avg_review;num_review;price;food_advice;country;region;wine_type;year;legg_strutt;secco_dolce;piatto_acid;notes
Tenuta dell'Ugolino;Vigneto del Balluccio Verdicchio dei Castelli di Jesi Classico Superiore;3.8;38;16.9;Pasta / Vegetariano / Antipasti e spuntini;Italia;Verdicchio dei Castelli di Jesi;Verdicchio;2020;49.603;17.6695;65.3925;agrume/legno/albero da frutta
Villa Raiano;Greco di Tufo;3.8;106;11.2;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Greco di Tufo;Greco;2020;63.4067;10.228;37.7203;albero da frutta/Erbaceo/agrume
La Lastra;Riserva Vernaccia di San Gimignano;3.9;71;18.9;Pasta / Vegetariano / Antipasti e spuntini;Italia;Vernaccia di San Gimignano;Vernaccia;2018;42.1632;24.4761;63.836;agrume/albero da frutta/Erbaceo
Vigneti Boveri Giacomo;Muntà l’è Ruma Derthona;4.1;30;19.45;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Colli Tortonesi;Timorasso;2017;63.9781;17.4508;48.048;albero da frutta/agrume/Erbaceo
Kuen Hof;Südtirol Eisacktaler Veltliner;4.0;66;18.59;na / na / na;Italia;Südtirol - Alto Adige;Grüner Veltliner;2018;;;;
Vite Colte;Tra Donne Sole Piemonte;3.9;135;9.9;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Piemonte;Miscela;2020;60.5593;28.1011;50.4007;agrume/vegetale/albero da frutta
Terlan (Terlano);Pinot Bianco Riserva Vorberg;4.3;208;143.0;Pesce grasso (salmone, tonno, ecc.) / Frutti di mare / Formaggio dolce e a pasta molle;Italia;Südtirol - Alto Adige;Weissburgunder;2009;45.6911;10.3121;57.2392;albero da frutta/Erbaceo/agrume
Garlider;Sylvaner;3.9;76;19.7;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol Eisacktaler;Sylvaner;2018;60.8068;19.4739;48.884;Erbaceo/albero da frutta/agrume
Cantina Bolzano / Kellerei Bozen;Sauvignon Collection Otto Graf Huyn;3.8;182;15.0;na / na / na;Italia;Südtirol - Alto Adige;Sauvignon Blanc;2019;;;;
Spadafora;Grillo;3.8;77;14.4;na / na / na;Italia;Terre Siciliane;Grillo;2016;;;;
