Name,R,G,B,Clusters
Calvarino Soave Classico 2020'.png,169.68315340368827,154.76194242619667,115.72836688539584,3
Cambrugiano Verdicchio di Matelica Riserva 2018'.png,171.76122276887418,159.2538853529169,144.7834217570723,2
Camestrì Roero Arneis 2020'.png,151.40409765723507,131.88385190651957,101.34990453673994,7
Camminera Vermentino di Sardegna 2019'.png,136.81449484612367,115.77590854750396,112.19119395032749,1
Campanaro 2019'.png,202.7048757841475,183.59350879208185,139.27108563559648,4
Campo del Guardiano 2018'.png,145.41279823235567,143.8584305193688,132.3235119357993,6
Campo della Pieve Vernaccia di San Gimignano 2019'.png,156.7205080615132,138.77285715280544,112.76832054104139,0
Campogrande Orvieto Classico 2020'.png,183.8191673207933,183.06559415877655,175.46987898603152,4
Capitel Croce 2017'.png,219.45349232609092,203.9413602763612,156.62658227296478,4
Capitel Foscarino 2020'.png,190.08016336255872,169.28811112103867,125.46020795267142,2
Capo Martino 2018'.png,154.18933294395168,150.67002586086386,143.14406871906647,2
Capolemole Bianco 2019'.png,147.33521423723084,133.85301610819175,96.11226211641186,7
Capri 2018'.png,158.3855435074706,144.76802268511116,114.5190283015764,0
Carat 2017'.png,184.673065649733,122.31391628775141,90.94975988714545,7
Carato Vernaccia di San Gimignano 2018'.png,107.84762508382126,96.01490615901476,79.49761052220474,5
Cardellino Chardonnay 2019'.png,133.86491972532508,124.24113874948557,107.39618354040252,1
Carjcanti Bianco 2018'.png,164.7866951606251,141.60239834016326,113.24453845636918,3
Carolina Marengo Grillo 2017'.png,114.03558096265479,121.65537954627827,122.44259159007586,1
Caroline 2017'.png,96.20895331731188,90.32292155776494,88.79504222539411,5
Carricante 2019'.png,142.26557601066767,124.19080828606076,92.63923278492969,7
Casal di Serra Verdicchio dei Castelli di Jesi Classico Superiore 2020'.png,194.01199329759768,168.51521579001673,106.54814814916188,3
Casale Venza Verdicchio di Matelica 2018'.png,162.08297318373215,148.52017754249724,124.39806441971896,0
Case Basse Sangiovese Toscana 2013'.png,123.46972320783588,114.7733486861277,111.71585103533437,1
Casette Foscarin 2017'.png,89.6764187638229,81.9378465642616,65.23269522830535,5
Casòn Hirschprunn Bianco 2017'.png,133.6635443545879,126.39681353398399,116.5890566480461,1
Castel Firmian Pinot Grigio Riserva 2019'.png,137.36764567662996,132.80258867603115,118.25243251314363,0
Castelcerino 2018'.png,123.84613898597034,110.85471445335752,98.2545705294225,1
Castelcerino 56 Mesi Sui Lieviti Foglio 1 2012'.png,145.22830248446644,126.80948572284069,109.14266831649341,7
Castello della Sala Bramìto Chardonnay 2021'.png,164.8614153600223,145.08101860954903,106.02513575452146,3
Castello della Sala Cervaro della Sala 2020'.png,148.29802139477889,135.0058616400242,101.07791101169528,7
Castello della Sala Conte della Vipera 2021'.png,146.2244795689041,126.25363485840964,103.4533064438891,7
Castello della Sala San Giovanni della Sala Classico Superiore 2021'.png,162.62879967033342,146.74470315871145,115.59100584565854,3
Catarratto 2019'.png,148.7955729504217,136.62493016101408,119.59987639952898,0
Catarratto 2020'.png,156.0255127532714,160.67562814663262,136.46315588240597,2
Catulliano Lugana 2020'.png,139.97106000097048,137.3610966254337,143.03808479138485,6
Cavagino 2020'.png,142.3190244640872,133.05560971109242,114.89013923957177,0
Cavallina 2018'.png,108.73472815397741,121.89409321404507,117.55706712750431,1
Cayega Roero Arneis 2020'.png,184.26307919097948,170.43147090402584,137.7550112963405,2
Cà del Lago Lugana 2020'.png,146.64210132957362,138.38152715887887,120.66289128532158,0
Cecu d'la Biunda Roero Arneis 2020'.png,146.0293953754705,135.17863272388146,106.22364494357195,7
Cemento Lugana 2017'.png,113.90985427942915,105.7885979252036,97.17177028940283,5
Ceslar Gewürztraminer 2021'.png,164.56830354175816,148.41025598533497,92.49456685643317,3
Chambave Muscat 2020'.png,149.114710375582,143.73892288714254,132.39836393118136,6
Chardonnay 2014'.png,162.5454512295408,163.8883742352891,120.63283397322252,2
Chardonnay 2016'.png,177.39141866228977,172.8415733733236,95.29596086982264,3
Chardonnay 2017'.png,147.7310075538828,129.28937730147805,103.84727688772608,7
Chardonnay 2018'.png,121.28252965699552,104.73060202252253,84.21543801465383,5
Chardonnay 2019'.png,130.08690623811134,117.30131800772405,93.91591139257721,1
Chardonnay 2020'.png,156.66392367177951,141.75382268235057,101.51845175844059,7
Chardonnay Alto Adige 2020'.png,155.64494978540353,136.27731973448755,101.47023534720574,7
Chardonnay Arvum 2019'.png,117.67161380576104,111.01963647839271,99.701768729281,1
Chardonnay Castel del Monte Pietrabianca 2020'.png,136.50856725058074,127.43152854142166,106.84673741599548,7
Chardonnay Élevé en Fût de Chêne 2019'.png,156.42135153388196,139.098342979375,111.69006485912386,0
Chardonnay Garda 2020'.png,167.5627159589136,145.81470822197008,122.25876134007513,0
Chardonnay Kleinstein 2020'.png,188.77106874053192,158.26092534736196,84.0543832543092,3
Chardonnay Kreuth 2020'.png,126.43198811632924,109.71948359049581,76.49621320641064,5
Chardonnay Langhe 2019'.png,135.30216003377004,133.22415137580694,122.89344978476274,6
Chardonnay Langhe Bastia 2018'.png,169.00163070545312,141.24104040987163,116.9650159690064,3
Chardonnay Piemonte Monteriolo 2008'.png,160.74432845495602,147.5131936217575,106.32209249153563,3
Chardonnay Puglia 2021'.png,164.29447108270702,145.2404604047463,103.03219816284478,3
Chardonnay Riserva Crivelli 2018'.png,148.40746912615376,139.00975918046316,132.38245932844958,6
Chardonnay Riserva Vigna Castel Ringberg 2019'.png,150.2117272123784,130.21466226088572,104.62727245671792,7
