company;name;avg_review;num_review;price;food_advice;country;region;wine_type;year;legg_strutt;secco_dolce;piatto_acid;notes
Coppo;Pomorosso Barbera d'Asti ;4.3;52;48.9;Pasta / Vitello / Maiale;Italia;Barbera d'Asti;Barbera;2018;57.7687;24.7438;10.6648;legno/bacche nere/frutti rossi
San Felice;Pugnitello ;4.4;54;27.0;Manzo / Agnello / Vitello;Italia;Toscana;Pugnitello;2018;54.1135;46.0711;13.9972;Erbaceo/legno/bacche nere
La Magia;Brunello di Montalcino ;4.3;369;41.5;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2016;49.711;58.4107;5.83504;legno/Erbaceo/frutti rossi
Pian dell'Orino;Vigneti del Versante Brunello di Montalcino ;4.3;26;105.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2016;51.575;51.7281;12.7507;legno/Erbaceo/bacche nere
Mascarello Giuseppe e Figlio;Barolo Monprivato ;4.7;158;393.0;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2016;55.855;74.2535;7.34307;frutti rossi/Erbaceo/legno
Masi;Costasera Amarone della Valpolicella Classico Riserva ;4.3;119;50.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Amarone della Valpolicella Classico;Miscela;2015;85.0;25.4119;49.9771;legno/bacche nere/Erbaceo
Fattoria le Pupille;Saffredi ;4.4;353;81.7;Manzo / Agnello / Vitello;Italia;Maremma Toscana;Miscela;2018;53.5585;45.6267;15.1585;legno/bacche nere/Erbaceo
Duca di Salaparuta;Duca Enrico Rosso ;4.3;29;59.0;Manzo / Pasta / Agnello;Italia;Terre Siciliane;Nero d'Avola;2015;82.0256;40.8838;28.8272;Erbaceo/bacche nere/legno
De Stefani;Malanotte del Piave ;4.5;38;43.2;Manzo / Pasta / Agnello;Italia;Piave Malanotte;Raboso Piave;2016;63.6442;41.5599;27.2666;legno/bacche nere/Erbaceo
San Felice;Campogiovanni Brunello di Montalcino Riserva Il Quercione ;4.3;58;169.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;1997;50.0825;53.1858;11.3714;Erbaceo/legno/frutti rossi
Tenuta CastelGiocondo;Brunello di Montalcino ;4.3;6304;44.9;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2013;48.6334;57.2441;6.57465;legno/Erbaceo/frutti rossi
Aldo Conterno;Barolo Bussia Romirasco ;4.6;74;265.0;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2011;62.4663;77.7524;9.00968;legno/Erbaceo/frutti rossi
Hastae;Quorum Barbera d'Asti ;4.3;137;76.0;Pasta / Vitello / Maiale;Italia;Barbera d'Asti;Barbera;2001;62.9008;24.1664;6.09877;legno/Erbaceo/spezie
Caprili;Brunello di Montalcino Riserva ;4.4;104;70.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2010;46.8268;54.7643;6.54435;Erbaceo/legno/bacche nere
Valentini;Montepulciano d'Abruzzo ;4.5;62;227.9;Manzo / Pasta / Vitello;Italia;Montepulciano d'Abruzzo;Montepulciano;2015;38.886;42.473;16.0865;Erbaceo/legno/bacche nere
Antinori;Tignanello ;4.5;247;336.0;Manzo / Agnello / Vitello;Italia;Toscana;Miscela;1985;53.224;42.2644;10.8428;legno/bacche nere/Erbaceo
Tenute Dettori;Badde Nigolosu ;4.5;26;48.98;Manzo / Pasta / Agnello;Italia;Romangia;Cannonau;2016;85.0;46.4576;43.3319;frutti rossi/legno/Erbaceo
Tedeschi;Capitel Monte Olmi Amarone della Valpolicella Classico Riserva ;4.5;264;66.3;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Valpolicella;Miscela;2013;85.0;29.7939;48.8544;legno/bacche nere/Erbaceo
