idname,price,wine_type,legg_strutt,secco_dolce,piatto_acid,notes,Clusters
Campo dei Gigli Amarone della Valpolicella  - 2012 - Tenuta Sant'Antonio,72.0,Miscela,85.0,27.0823,48.2728,legno/bacche nere/Erbaceo,14
Tre Tine Barolo  - 2014 - Giuseppe Rinaldi,342.0,Nebbiolo,57.7279,78.5327,6.9824,frutti rossi/Erbaceo/spezie,9
Siepi  - 2017 - Mazzei,106.0,Miscela,54.6542,41.59,13.0313,legno/bacche nere/Erbaceo,4
Brunello di Montalcino  - 2009 - Sesti,66.0,Sangiovese,46.4993,53.4956,7.81726,frutti rossi/Erbaceo/legno,3
Brunello di Montalcino  - 2016 - Le Macioche,59.9,Sangiovese,46.6218,55.1403,6.51248,Erbaceo/frutti rossi/legno,3
Solèr  - 2019 - De Stefani,19.95,Miscela,62.1311,37.9289,28.5682,legno/bacche nere/frutti rossi,8
Barbaresco  - 2015 - Gaja,244.0,Nebbiolo,60.1312,67.7589,7.52422,Erbaceo/legno/frutti rossi,1
Pajè Barbaresco  - 2015 - Roagna,154.9,Nebbiolo,58.4658,70.9905,6.8159,Erbaceo/frutti rossi/legno,1
Coparossa Barbaresco  - 2009 - Bruno Rocca,114.0,Nebbiolo,55.0511,67.2054,2.66075,legno/frutti rossi/Erbaceo,1
Barolo Brunate  - 2015 - Vietti,165.0,Nebbiolo,62.0441,79.5725,14.6057,Erbaceo/frutti rossi/legno,1
Tenuta Tignanello 'Solaia'  - 1985 - Antinori,769.0,Cabernet Sauvignon,53.8514,41.8679,14.8718,legno/bacche nere/Erbaceo,12
Seifile  - 2007 - Nada Fiorenzo,69.0,Nebbiolo,65.629,45.4429,22.3814,Erbaceo/frutti rossi/bacche nere,0
Brunello di Montalcino  - 2016 - Canalicchio di Sopra,77.0,Sangiovese,48.0214,57.6512,9.06536,Erbaceo/legno/frutti rossi,3
Alàuda  - 2016 - Ruffino,73.5,Cabernet Sauvignon,59.1885,43.9372,20.9976,legno/bacche nere/Erbaceo,12
Brunello di Montalcino  - 2015 - Fattoria del Pino,48.0,Sangiovese,44.8799,54.2197,6.61094,Erbaceo/frutti rossi/legno,3
Barbaresco Albesani  - 2015 - Roagna,139.36,Nebbiolo,65.7447,70.2101,0.0,Erbaceo/frutti rossi/spezie,9
Barbera d'Alba Cerretta  - 2018 - Giacomo Conterno,61.0,Barbera,57.9708,26.7857,9.64409,frutti rossi/bacche nere/Erbaceo,0
