,Name,R,G,B,Clusters
127,Barolo Bricco Visette 2010'.png,161.8251246492396,155.42094245898366,131.51692519559307,5
128,Barolo Brunate 2010'.png,154.21836073841735,144.68305792661425,127.78544330991834,5
129,Barolo Brunate 2011'.png,143.76215379141027,135.11078968830017,118.2674271036852,0
130,Barolo Brunate 2013'.png,155.58454357937748,150.27324509962205,142.9224099329569,2
131,Barolo Brunate 2014'.png,152.06789568465524,153.7525045424016,153.75833144839962,2
132,Barolo Brunate 2016'.png,157.87671501161006,156.13842628662974,146.1969876012275,2
133,Barolo Bussia 1999'.png,162.79647036423182,157.36513955954277,163.26336916419243,6
134,Barolo Bussia 2013'.png,147.4809048112691,142.71769884560922,140.1442085030799,2
135,Barolo Bussia 2016'.png,152.19578034740502,148.3901309130124,142.70172299601623,2
136,Barolo Bussia Cicala 2014'.png,149.17509737693942,140.89107265841477,142.07318650111515,2
137,Barolo Bussia Colonnello 2015'.png,161.9208289217594,155.8900693106441,157.6205375925604,6
138,Barolo Bussia Munie Riserva 2015'.png,121.58134531831668,95.20644235904767,102.27448649705015,1
139,Barolo Bussia Romirasco 2017'.png,150.25653915572232,145.57738694780582,147.72807003804442,2
140,Barolo Cannubi 2005'.png,153.11787184115823,133.779993325509,121.6739058717141,0
141,Barolo Cannubi 2010'.png,147.6984132500947,145.86076135180312,141.54755610146674,2
142,Barolo Cannubi 2015'.png,139.9864164379837,135.13668522935998,131.4775317895109,0
143,Barolo Cannubi 2016'.png,138.1362214854399,149.12226855970292,148.06251991615423,2
144,Barolo Cannubi Boschis 1989'.png,124.75999005334297,122.26900122850977,112.29769211138449,3
145,Barolo Carobric 2016'.png,190.62762425480798,165.37218531971862,113.50998250828981,5
146,Barolo Cascina Francia 2017'.png,162.05761918761763,155.50022558859123,145.26206384901698,2
147,Barolo Castelletto Vigna Pressenda 2016'.png,155.42719894930985,154.6559427565629,142.27702544157978,2
148,Barolo Castiglione 2015'.png,161.03762804717047,146.8578477677662,130.58366711670743,5
149,Barolo Cerequio 2013'.png,137.90666050612708,135.04108862686897,134.21296331544264,0
150,Barolo Cerretta 2012'.png,126.02810272778589,122.15293112601582,118.45985066879174,3
151,Barolo Cerretta 2016'.png,144.745593551547,140.64812979326328,135.8129572704674,0
152,Barolo Cerretta 2017'.png,154.90285364639544,151.7940593062784,136.59422773619482,2
153,Barolo Ciabot Mentin 2011'.png,139.8564314880493,138.60753625666555,140.46054669753863,0
154,Barolo Ciabot Mentin Ginestra 1989'.png,153.5497381578797,150.24698541570152,147.3026554042955,2
155,Barolo Ciabot Mentin Ginestra 2013'.png,153.746100613366,155.96938737841086,150.53258863436798,2
156,Barolo Conca 2014'.png,163.24826516208793,151.794740150161,146.82043187406265,2
157,Barolo Coste di Rose 2017'.png,150.141348745689,141.64418589135735,128.17268856990594,0
158,Barolo Enrico VI 2017'.png,132.8454047937043,127.03879065351914,126.26298950874337,0
159,Barolo Gavarini Chiniera 2015'.png,106.82460420236588,114.66986162612359,119.9842345286791,3
160,Barolo Ginestra Casa Maté 2017'.png,143.140578790372,142.02247497917182,137.53421421250562,0
161,Barolo Ginestra Vigna del Gris 2017'.png,198.04702850082847,201.38551956394443,189.3584997676707,6
162,Barolo La Serra 2014'.png,155.27528567878883,153.79654900567755,150.66504629574442,2
163,Barolo Lazzarito 2007'.png,158.89983330637384,147.65879531782298,149.16872969009077,2
164,Barolo Lazzarito 2014'.png,180.32364822794656,159.3196534282696,132.6129885207684,5
165,Barolo Lazzarito 2015'.png,153.10269755951396,145.61913335822322,140.24123502023218,2
166,Barolo Le Brunate 2016'.png,175.31268507842526,157.66447588636365,137.69896133438758,5
167,Barolo Le Vigne 2009'.png,128.14570444859808,122.06555615733703,111.17932873180564,3
168,Barolo Lecinquevigne 2017'.png,159.3890101524476,150.03843769809538,151.76175785599276,2
169,Barolo Liste 2008'.png,132.3432663851105,125.3990009881215,131.19521728847465,0
170,Barolo Liste 2015'.png,138.7415091067066,133.88485635763578,130.4319441835169,0
171,Barolo Marcenasco 2017'.png,187.1651572233234,166.25352716293764,130.97893858533584,6
172,Barolo Marenca 2016'.png,128.8557649593735,127.27561287478864,125.38725320105758,3
173,Barolo Monfalletto 1971'.png,140.8960078901105,121.13068039222541,109.09744253878702,7
174,Barolo Monprivato 2011'.png,123.8115107575965,123.15946939622948,126.1482632212013,3
175,Barolo Monvigliero 2015'.png,147.78996750093398,145.44917166646752,148.84727112532997,2
176,Barolo Monvigliero 2017'.png,173.46438620256438,124.19926931356608,88.20892375065581,7
177,Barolo Monvigliero Riserva 2015'.png,156.3498062191377,144.32259665333737,145.6159740713975,2
178,Barolo Mosconi Vigna Ped 2015'.png,138.8015169625718,145.31892949592378,149.00960073468792,2
179,Barolo Paiagallo 2017'.png,162.30099126224056,157.1084551087772,153.42251029971666,6
180,Barolo Pajana 2011'.png,176.00255441232625,179.85777527738713,175.8601311107373,6
181,Barolo Pajana 2017'.png,160.3941301772143,156.54852702773664,160.3681064846274,6
182,Barolo Parafada 2015'.png,178.5490239913228,166.8275414055742,138.52498198852305,6
183,Barolo Parafada 2016'.png,142.82975384238807,139.16276653814833,121.72497074937831,0
184,Barolo Parussi 2015'.png,158.36024873511232,131.30531960481167,85.91180329072387,7
185,Barolo Percristina 2010'.png,152.6469703629116,149.11676278369723,138.32656952804973,2
186,Barolo Pressenda 2011'.png,138.95781305678284,136.05620045606037,128.18567572204572,0
187,Barolo Ravera 2015'.png,153.66812708116285,142.53868485376836,128.3965109791561,5
188,Barolo Ravera 2017'.png,146.5224919166003,138.83239630197343,124.89680202222347,0
189,Barolo Raviole 2016'.png,150.9502290820356,145.67234877759253,143.68554002736485,2
190,Barolo Riserva 2004'.png,135.3736590295731,126.56769686521035,114.27732533890602,3
191,Barolo Riserva 2006'.png,139.68645561525622,134.74373643996935,133.09595536053428,0
192,Barolo Riserva 2009'.png,147.30510066839787,139.30350849736269,132.6546190959051,0
193,Barolo Riserva 2012'.png,154.23504141407037,139.81235996863796,110.40159419138838,5
194,Barolo Riserva Bricco Boschis Vigna San Giuseppe 2016'.png,120.67857608167077,118.5381912669694,116.43548903822116,3
195,Barolo Riserva Bussia 90 Dì 2015'.png,135.8953461235491,117.32082709642067,107.68073725820504,3
196,Barolo Riserva Cannubi 1752 2008'.png,157.07433853461538,143.17619538492139,140.5843676476068,2
197,Barolo Riserva Cerequio 2007'.png,149.30832528697118,138.30835115783862,128.81633436796747,0
198,Barolo Riserva Granbussia 2008'.png,152.69341832574185,143.0884901031526,138.25898885786776,2
199,Barolo Riserva Monfortino 2014'.png,150.103969238084,129.6936646113302,94.90350830885055,7
200,Barolo Riserva Monprivato Cà d'Morissio 2003'.png,180.337722661888,173.00148090896278,165.20007904266416,6
201,Barolo Riserva Rüncot 2013'.png,136.05520851053754,134.05853833159878,117.33469576403871,0
202,Barolo Riserva Vigna Rionda 2011'.png,168.07481667400384,149.7498313855478,124.24519306596936,5
203,Barolo Riserva Vignolo 2016'.png,144.52388676669975,140.02411591021473,134.81045322820904,0
204,Barolo Riserva Villero 2012'.png,141.77121971739356,132.3515213242764,125.8042786849202,0
205,Barolo Rocche dell'Annunziata 2013'.png,138.40927347590184,128.17315297228643,110.7552356424843,7
206,Barolo Rocche di Castiglione 2013'.png,146.6424088147495,136.25221229151,122.7495850498944,0
207,Barolo Rocche di Castiglione 2017'.png,163.06010191933728,143.0050442737844,123.01532730106497,5
208,Barolo Santo Stefano di Perno 2015'.png,133.5166009562994,137.7885435401786,127.6294051550855,0
209,Barolo Sette7Anni Riserva 2012'.png,123.57163517412822,101.91788313127773,105.15689491906656,1
210,Barolo Sottocastello di Novello 2015'.png,138.30982862997183,136.23867396809536,130.75966851093997,0
211,Barolo Terlo Ravera 2011'.png,142.64046396722185,137.14026024618795,135.8510429932466,0
212,Barolo Vigna Rionda 2005'.png,163.83827487788264,151.75229765153372,129.99739549177772,5
213,Barolo Vigna Rionda Ester Canale 2016'.png,133.2652669398483,132.0977504966474,133.42948493860115,0
214,Barolo Vignarionda 2015'.png,154.7856869060177,139.13588449727376,138.20250161126933,5
215,Barolo Vignarionda Riserva 2009'.png,159.64824078051635,148.45975225365186,133.11282255820348,5
216,Barolo Vigneto Cannubi 2012'.png,167.71296577453066,169.7974750686315,171.56250885448267,6
217,Barolo Villero 2015'.png,130.48757783071724,122.77918831652757,111.13779537921826,3
218,Barolo Villero 2016'.png,144.2256548804397,137.38782704360253,130.43699734615114,0
219,Barolo Villero 2017'.png,172.330113445097,168.48278250313888,163.59254261732104,6
220,Barolo del Commune di Castiglione Falletto 2016'.png,125.62694540489595,117.27696395503169,117.26355434008723,3
221,Barolo del Comune di Barolo 2015'.png,162.5012087867129,155.60459402774612,146.89669461525978,2
222,Barolo del Comune di Serralunga d'Alba 2016'.png,131.14777526067033,127.10931955000729,119.07759611103312,3
223,Barolo del Comune di Serralunga d'Alba 2018'.png,129.44627224595533,123.30855606972291,114.57473508020513,3
224,Barolo del Comune di la Morra 2017'.png,150.13605378345767,135.2801555012447,138.73748790857178,0
225,Baron' Ugo Toscana Rosso 2015'.png,134.89057293475577,132.10160973325665,110.28796531860422,3
226,Barrua 2018'.png,154.22515751162703,150.23692750902416,138.73922705035386,2
227,Barthenau Vigna S. Urbano 2017'.png,172.7297248629768,162.50082008693255,150.56897598418348,6
228,Bassolino di Sopra Brunello di Montalcino 2007'.png,124.40842693689758,119.91507821892945,117.84326638832982,3
229,Bayamore Rosso di Rossi 2020'.png,162.03028039445553,157.3296402025839,156.73243091957957,6
230,Belan Primitivo Di Manduria 2018'.png,71.2003920869354,65.94748542085084,60.10813172940912,4
231,Bellovedere Montepulciano d'Abruzzo (Riserva) 2016'.png,156.96879919770242,156.8427337725752,162.31293909013672,6
232,Bibbona 2012'.png,147.4253150900881,117.51038335431653,118.10795991836635,7
233,Bicento 2018'.png,96.75967630862348,89.10631267957166,88.76020495548575,4
234,Bigolla 2009'.png,110.948871891124,99.29858753358987,77.8755721846267,1
235,Bilaccio 2016'.png,136.38447528806788,117.5733898126267,118.19342307829207,3
236,Blu Onice Aglianico Irpinia 2019'.png,150.6269574643285,148.8009027574004,159.7186009707792,2
237,Bolgheri Superiore 2010'.png,128.32110420785807,118.49559743539102,97.52732187647057,3
238,Bolgheri Superiore 2011'.png,147.0919732106275,115.82611216435313,84.00168689264352,7
239,Bolgheri Superiore 2012'.png,147.6835957188355,136.30096250926616,127.9953651194585,0
